3GO E35 , Full face , 1.45 , 39.99 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/3go-e35
MARUSHIN 777 TIGER , Full face , 1.40 , 99.00 , Fibreglass , 5 , http://sharp.direct.gov.uk/testsratings/marushin-777-tiger
MARUSHIN IKUSA , Full face , 1.30 , 119.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/marushin-ikusa
MARUSHIN M401 , System , 1.70 , 99.00 , Fibreglass , 2 , http://sharp.direct.gov.uk/testsratings/marushin-m401
MARUSHIN RS1 CARBON , Full face , 1.10 , 200.00 , Carbon fibre , 5 , http://sharp.direct.gov.uk/testsratings/marushin-rs1-carbon
MARUSHIN RS2 CARBON , Full face , 1.10 , 229.99 , Carbon fibre , 5 , http://sharp.direct.gov.uk/testsratings/marushin-rs2-carbon
MARUSHIN SHIVAN , Full face , 1.50 , 119.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/marushin-shivan
MDS MD200 , System , 1.78 , 89.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/mds-md200
MT BLADE , Full face , 1.50 , 89.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/mt-blade
MT FLUX , System , 1.70 , 89.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/mt-flux
MT RAPTOR , System , 1.70 , 109.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/mt-raptor
MT REVENGE , Full face , 1.45 , 64.99 , Polycarbonate , 5 , http://sharp.direct.gov.uk/testsratings/mt-revenge
MT THUNDER , Full face , 1.45 , 49.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/mt-thunder
NANKAI SA-07 , Full face , 1.50 , 50.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/nankai-sa-07
NEXX XR1R , Full face , 1.35 , 184.99 , Composite Fibre , 3 , http://sharp.direct.gov.uk/testsratings/nexx-xr1r
NEXX XR1R CARBON , Full face , 1.25 , 299.99 , Carbon fibre , 3 , http://sharp.direct.gov.uk/testsratings/nexx-xr1r-carbon
NITRO AIKIDO , Full face , 1.50 , 70.00 , Fibreglass , 5 , http://sharp.direct.gov.uk/testsratings/nitro-aikido
NITRO DYNAMO , Full face , 1.45 , 59.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/nitro-dynamo
NITRO EVO CARBON FF , Full face , 1.30 , 189.99 , Carbon fibre , 5 , http://sharp.direct.gov.uk/testsratings/nitro-evo-carbon-ff
NITRO F341-VN , System , 1.60 , 89.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/nitro-f341-vn
NITRO F342 , System , 1.70 , 109.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/nitro-f342
NITRO F347VN , System , 1.80 , 99.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/nitro-f347vn
NITRO N1000V , Full face , 1.60 , 40.00 , Composite Fibre , 2 , http://sharp.direct.gov.uk/testsratings/nitro-n1000v
NITRO N1430VX , Full face , 1.55 , 90.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n1430vx
NITRO N1600VN , Full face , 1.45 , 80.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n1600vn
NITRO N1700VF , Full face , 1.50 , 119.00 , Fibreglass , 5 , http://sharp.direct.gov.uk/testsratings/nitro-n1700vf
NITRO N1900VF CARBON , Full face , 1.15 , 199.99 , Carbon fibre , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n1900vf-carbon
NITRO N2100 , Full face , 1.39 , 69.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n2100
NITRO N2200 , Full face , 1.55 , 89.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/nitro-n2200
NITRO N250VX , Full face , 1.70 , 70.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n250vx
NITRO N330VX , Full face , 1.50 , 50.00 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/nitro-n330vx
NITRO N510V , Full face , 1.70 , 60.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/nitro-n510v
NITRO N755VX , Full face , 1.40 , 70.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n755vx
NITRO N810VX , Full face , 1.50 , 100.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n810vx
NITRO N820VX , Full face , 1.50 , 120.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/nitro-n820vx
NITRO NP1100F , Full face , 1.39 , 69.99 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/nitro-np1100f
NITRO NS-FF , Full face , 1.60 , 100.00 , Fibreglass , 2 , http://sharp.direct.gov.uk/testsratings/nitro-ns-ff
NITRO NSFC CARBON , Full face , 1.25 , 179.00 , Carbon fibre , 3 , http://sharp.direct.gov.uk/testsratings/nitro-nsfc-carbon
NOLAN N102 , System , 1.77 , 200.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n102
NOLAN N103 , System , 1.85 , 265.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n103
NOLAN N104 , System , 1.64 , 253.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n104
NOLAN N62 , Full face , 1.65 , 135.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n62
NOLAN N64 , Full face , 1.42 , 129.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n64
NOLAN N84 , Full face , 1.45 , 184.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n84
NOLAN N85 , Full face , 1.50 , 130.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n85
NOLAN N86 , Full face , 1.46 , 169.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n86
NOLAN N90 , System , 1.70 , 150.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nolan-n90
NOLAN X802 , Full face , 1.40 , 449.00 , Carbon fibre , 4 , http://sharp.direct.gov.uk/testsratings/nolan-x802
NUVO SP2 , Full face , 1.60 , 100.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/nuvo-sp2
NZI CONVERT III , System , 1.80 , 120.00 , Thermoplastic , 1 , http://sharp.direct.gov.uk/testsratings/nzi-convert-iii
NZI FIBRUP , System , 1.55 , 256.80 , Composite Fibre , 2 , http://sharp.direct.gov.uk/testsratings/nzi-fibrup
NZI PREMIUM S , Full face , 1.50 , 135.00 , Composite Fibre , 3 , http://sharp.direct.gov.uk/testsratings/nzi-premium-s
NZI RCV , Full face , 1.45 , 299.00 , Carbon fibre , 2 , http://sharp.direct.gov.uk/testsratings/nzi-rcv
OSBE HIGHWAY , Full face , 1.57 , 140.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/osbe-highway
OSBE X RACE , Full face , 1.55 , 140.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/osbe-x-race
PREMIER MONZA , Full face , 1.40 , 170.00 , Carbon Kevlar , 4 , http://sharp.direct.gov.uk/testsratings/premier-monza
PREMIER TROPHY , Full face , 1.29 , 179.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/premier-trophy
ROOF BOXER , System , 1.68 , 215.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/roof-boxer
ROOF PANTHER , Full face , 1.50 , 199.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/roof-panther
ROOF R010 DAYTONA , Full face , 1.50 , 245.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/roof-r010-daytona
ROOF R010 DIVERSION , Full face , 1.50 , 245.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/roof-r010-diversion
RST COBRAVENT , Full face , 1.40 , 70.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/rst-cobravent
RST FUSION , Full face , 1.50 , 110.00 , Fibreglass , 1 , http://sharp.direct.gov.uk/testsratings/rst-fusion
RST PC1S , Full face , 1.60 , 60.00 , Polycarbonate , 1 , http://sharp.direct.gov.uk/testsratings/rst-pc1s
RST RACEVENT , Full face , 1.40 , 125.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/rst-racevent
SCHUBERTH C2 , System , 1.78 , 370.00 , Carbon fibre , 4 , http://sharp.direct.gov.uk/testsratings/schuberth-c2
SCHUBERTH C3 , System , 1.60 , 460.00 , Composite Fibre , 3 , http://sharp.direct.gov.uk/testsratings/schuberth-c3
SCHUBERTH C3 PRO , System , 1.57 , 461.55 , Composite Fibre , 3 , http://sharp.direct.gov.uk/testsratings/schuberth-c3-pro
SCHUBERTH R1 , Full face , 1.50 , 320.00 , Fibreglass , 2 , http://sharp.direct.gov.uk/testsratings/schuberth-r1
SCHUBERTH S1 PRO , Full face , 1.66 , 450.00 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/schuberth-s1-pro
SCHUBERTH S2 , Full face , 1.45 , 449.99 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/schuberth-s2
SCHUBERTH SR1 , Full face , 1.58 , 499.99 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/schuberth-sr1
SCORPION EXO 1000 , Full face , 1.65 , 259.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-1000
SCORPION EXO 1000 AIR E11 , Full face , 1.50 , 269.99 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-1000-air-e11
SCORPION EXO 2000 , Full face , 1.40 , 280.00 , Composite Fibre , 3 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-2000
SCORPION EXO 300 , Full face , 1.50 , 124.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-300
SCORPION EXO 400 , Full face , 1.40 , 99.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-400
SCORPION EXO 410 , Full face , 1.55 , 129.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-410
SCORPION EXO 450 , Full face , 1.60 , 139.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-450
SCORPION EXO 500 AIR , Full face , 1.50 , 179.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-500-air
SCORPION EXO 700 , Full face , 1.70 , 159.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-700
SCORPION EXO 750 , Full face , 1.60 , 189.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-750
SCORPION EXO 900 AIR , System , 1.85 , 229.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/scorpion-exo-900-air
SHARK EVOLINE , System , 1.92 , 299.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/shark-evoline
SHARK EVOLINE 3 , System , 1.71 , 299.99 , Polycarbonate , 5 , http://sharp.direct.gov.uk/testsratings/shark-evoline-3
SHARK OPENLINE , System , 1.74 , 149.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/shark-openline
SHARK RACE R , Full face , 1.50 , 339.00 , Composite Fibre , 5 , http://sharp.direct.gov.uk/testsratings/shark-race-r
SHARK RACE R PRO , Full face , 1.30 , 499.00 , Composite Fibre , 5 , http://sharp.direct.gov.uk/testsratings/shark-race-r-pro
SHARK RACE R PRO CARBON , Full face , 1.32 , 431.00 , Carbon fibre , 5 , http://sharp.direct.gov.uk/testsratings/shark-race-r-pro-carbon
SHARK RSF 2I , Full face , 1.45 , 159.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/shark-rsf-2i
SHARK RSF3 , Full face , 1.45 , 219.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/shark-rsf3
SHARK RSI , Full face , 1.40 , 229.00 , Carbon Kevlar , 4 , http://sharp.direct.gov.uk/testsratings/shark-rsi
SHARK RSI CARBON , Full face , 1.30 , 339.00 , Carbon fibre , 4 , http://sharp.direct.gov.uk/testsratings/shark-rsi-carbon
SHARK RSR2 , Full face , 1.29 , 320.00 , Carbon Kevlar , 5 , http://sharp.direct.gov.uk/testsratings/shark-rsr2
SHARK RSR2 CARBON , Full face , 1.35 , 439.00 , Carbon fibre , 5 , http://sharp.direct.gov.uk/testsratings/shark-rsr2-carbon
SHARK RSX , Full face , 1.60 , 169.00 , Carbon Kevlar , 5 , http://sharp.direct.gov.uk/testsratings/shark-rsx
SHARK S500 AIR , Full face , 1.45 , 99.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/shark-s500-air
SHARK S600 , Full face , 1.50 , 99.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/shark-s600
SHARK S650 , Full face , 1.60 , 125.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/shark-s650
SHARK S700 , Full face , 1.50 , 139.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/shark-s700
SHARK S800 , Full face , 1.45 , 150.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/shark-s800
SHARK S900 , Full face , 1.50 , 169.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/shark-s900
SHARK SPEED-R , Full face , 1.45 , 239.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/shark-speed-r
SHARK VISION R , Full face , 1.50 , 239.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/shark-vision-r
SHARK VISION R GT CARBON , Full face , 1.50 , 179.99 , Carbon fibre , 4 , http://sharp.direct.gov.uk/testsratings/shark-vision-r-gt-carbon
SHOEI GT AIR , Full face , 1.46 , 469.99 , Composite Fibre , 3 , http://sharp.direct.gov.uk/testsratings/shoei-gt-air
SHOEI MULTITECH , System , 1.48 , 420.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/shoei-multitech
SHOEI NEOTEC , System , 1.61 , 469.99 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/shoei-neotec
SHOEI NXR , Full face , 1.36 , 389.99 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/shoei-nxr
SHOEI QWEST , Full face , 1.40 , 259.00 , Fibreglass , 5 , http://sharp.direct.gov.uk/testsratings/shoei-qwest
SHOEI RAID II , Full face , 1.36 , 240.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/shoei-raid-ii
SHOEI X SPIRIT , Full face , 1.40 , 325.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/shoei-x-spirit
SHOEI X SPIRIT II , Full face , 1.50 , 480.00 , Composite Fibre , 5 , http://sharp.direct.gov.uk/testsratings/shoei-x-spirit-ii
SHOEI XR-1000 , Full face , 1.33 , 295.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/shoei-xr-1000
SHOEI XR-1100 , Full face , 1.50 , 379.00 , Fibreglass , 5 , http://sharp.direct.gov.uk/testsratings/shoei-xr-1100
SHOX SNIPER , Full face , 1.45 , 29.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/shox-sniper
SPADA EVOLUTION , Full face , 1.58 , 54.95 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/spada-evolution
SPADA TUCANA , System , 1.45 , 109.95 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/spada-tucana
SPARX S-07 , Full face , 1.62 , 70.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/sparx-s-07
SUOMY EXTREME , Full face , 1.30 , 400.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/suomy-extreme
SUOMY GUNWIND , Full face , 1.40 , 220.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/suomy-gunwind
SUOMY SPEC 1R , Full face , 1.25 , 300.00 , Fibreglass , 3 , http://sharp.direct.gov.uk/testsratings/suomy-spec-1r
SUOMY VANDAL , Full face , 1.55 , 299.00 , Fibreglass , 5 , http://sharp.direct.gov.uk/testsratings/suomy-vandal
TAKACHI TK30 , Full face , 1.40 , 60.00 , Thermoplastic , 2 , http://sharp.direct.gov.uk/testsratings/takachi-tk30
URBAN N20 , Full face , 1.50 , 100.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/urban-n20
V-CAN V100F , Full face , 1.55 , 59.00 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/v-can-v100f
V-CAN V190 , Full face , 1.47 , 60.00 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/v-can-v190
V-CAN V210(B) , System , 1.79 , 75.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/v-can-v210b
VEMAR JIANO , System , 1.70 , 199.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/vemar-jiano
VEMAR TAI2K , Full face , 1.40 , 70.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/vemar-tai2k
VEMAR V1.01.1 ECLIPSE , Full face , 1.50 , 160.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/vemar-v1011-eclipse
VEMAR V1.02.01 MIDAS , Full face , 1.50 , 90.00 , Fibreglass , 1 , http://sharp.direct.gov.uk/testsratings/vemar-v10201-midas
VEMAR VSREV , Full face , 1.30 , 190.00 , Composite Fibre , 2 , http://sharp.direct.gov.uk/testsratings/vemar-vsrev
VEMAR VSSEV , Full face , 1.50 , 119.00 , Fibreglass , 1 , http://sharp.direct.gov.uk/testsratings/vemar-vssev
VEMAR VTXE , Full face , 1.50 , 149.00 , Composite Fibre , 2 , http://sharp.direct.gov.uk/testsratings/vemar-vtxe
VEMAR VXP , Full face , 1.70 , 79.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/vemar-vxp
VIPER RS 101 , System , 1.82 , 60.00 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/viper-rs-101
VIPER RS 222 , Full face , 1.50 , 49.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/viper-rs-222
VIPER RS 40 , Full face , 1.40 , 50.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/viper-rs-40
VIPER RS 66 , Full face , 1.65 , 60.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/viper-rs-66
VIPER RS V111 , System , 1.79 , 130.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/viper-rs-v111
VIPER RS V121 , System , 1.79 , 130.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/viper-rs-v121
VIPER RS V225 , System , 1.30 , 79.99 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/viper-rs-v225
VIPER RS V99 , Full face , 1.65 , 99.00 , Thermoplastic , 3 , http://sharp.direct.gov.uk/testsratings/viper-rs-v99
VIPER RS-33 , Full face , 1.38 , 39.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/viper-rs-33
VIPER RS-44 , Full face , 1.50 , 49.99 , Thermoplastic , 4 , http://sharp.direct.gov.uk/testsratings/viper-rs-44
VIPER RS-V115 , System , 1.65 , 80.00 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/viper-rs-v115
VIPER RS-V5 ZERO , Full face , 1.62 , 54.99 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/viper-rs-v5-zero
VIPER RS-V7 ZERO , Full face , 1.55 , 69.99 , Polycarbonate , 3 , http://sharp.direct.gov.uk/testsratings/viper-rs-v7-zero
VIPER RS-V9 , Full face , 1.50 , 59.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/viper-rs-v9
VIPER RS220 , Full face , 1.35 , 54.99 , Polycarbonate , 4 , http://sharp.direct.gov.uk/testsratings/viper-rs220
VIPER RSV 151 , System , 1.50 , 159.99 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/viper-rsv-151
VIPER RSV 335 , System , 1.50 , 79.99 , Polycarbonate , 2 , http://sharp.direct.gov.uk/testsratings/viper-rsv-335
X LITE X1002 , System , 1.74 , 249.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/x-lite-x1002
X LITE X601 , Full face , 1.35 , 120.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/x-lite-x601
X LITE X602 , Full face , 1.40 , 250.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/x-lite-x602
X LITE X701 , Full face , 1.45 , 290.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/x-lite-x701
X LITE X801 , Full face , 1.40 , 330.00 , Composite Fibre , 4 , http://sharp.direct.gov.uk/testsratings/x-lite-x801
X-LITE 802R , Full face , 1.38 , 319.99 , Fibreglass , 4 , http://sharp.direct.gov.uk/testsratings/x-lite-802r
X-LITE X603 , Full face , 1.39 , 229.99 , Composite Fibre , 5 , http://sharp.direct.gov.uk/testsratings/x-lite-x603
X-LITE X702 , Full face , 1.31 , 289.99 , Composite Fibre , 5 , http://sharp.direct.gov.uk/testsratings/x-lite-x702